Champion,Picks,Bans,PrioScore,Wins,Losses,Winrate,KDA,Avg BT,Avg RP,BP%,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
Aphelios,3,2,6%,0,3,0%,1.3,7.5,3.33,66.7,32:37:00,10.1,781,450,5,655,400
Viego,2,2,6%,0,2,0%,1.3,8,2.5,0,23:26,7.1,427,429,-1,-841,-339
Vayne,2,0,2%,0,2,0%,1.3,-,2,0,34:16:00,8.3,645,365,13.5,113,-14
Zeri,2,0,2%,0,2,0%,1.2,-,2.5,0,29:22:00,10.4,572,456,-15,-1327,-1296
Sylas,2,3,10%,0,2,0%,1.1,8.3,2,0,26:37:00,7,467,362,-39,-446,-1046
Vex,1,0,0%,0,1,0%,0.8,-,5,0,33:52:00,8.9,352,356,-12,-915,-267
Veigar,1,0,1%,0,1,0%,0.7,-,2,0,24:27:00,9.1,398,392,-17,-753,-536
Qiyana,1,4,10%,0,1,0%,0.3,6.8,3,0,30:35:00,7.5,507,385,-13,-177,-624
Irelia,1,0,1%,0,1,0%,0.2,-,3,0,25:07:00,8.2,300,307,-15,-2541,-1409
Tryndamere,1,0,1%,0,1,0%,0,-,3,0,36:57:00,10.2,408,381,8,102,217
Yasuo,0,2,4%,,,,,8.5,-,-,,,,,,,
Kindred,0,2,4%,,,,,9,-,-,,,,,,,
Elise,0,1,2%,,,,,8,-,-,,,,,,,
Ziggs,0,1,2%,,,,,3,-,-,,,,,,,
RekSai,0,1,2%,,,,,7,-,-,,,,,,,
Amumu,0,0,0%,,,,,-,-,-,,,,,,,
Blitzcrank,0,0,0%,,,,,-,-,-,,,,,,,
Brand,0,0,0%,,,,,-,-,-,,,,,,,
Chogath,0,0,0%,,,,,-,-,-,,,,,,,
Darius,0,0,0%,,,,,-,-,-,,,,,,,
Diana,0,0,0%,,,,,-,-,-,,,,,,,
Draven,0,0,0%,,,,,-,-,-,,,,,,,
Evelynn,0,0,0%,,,,,-,-,-,,,,,,,
Fiddlesticks,0,0,0%,,,,,-,-,-,,,,,,,
Fiora,0,0,0%,,,,,-,-,-,,,,,,,
Fizz,0,0,0%,,,,,-,-,-,,,,,,,
Gangplank,0,0,0%,,,,,-,-,-,,,,,,,
Gragas,0,0,0%,,,,,-,-,-,,,,,,,
Graves,0,0,0%,,,,,-,-,-,,,,,,,
Hecarim,0,0,0%,,,,,-,-,-,,,,,,,
Heimerdinger,0,0,0%,,,,,-,-,-,,,,,,,
Janna,0,0,0%,,,,,-,-,-,,,,,,,
Karthus,0,0,0%,,,,,-,-,-,,,,,,,
Kassadin,0,0,0%,,,,,-,-,-,,,,,,,
Katarina,0,0,0%,,,,,-,-,-,,,,,,,
Kayle,0,0,0%,,,,,-,-,-,,,,,,,
KhaZix,0,0,0%,,,,,-,-,-,,,,,,,
Lissandra,0,0,0%,,,,,-,-,-,,,,,,,
Malzahar,0,0,0%,,,,,-,-,-,,,,,,,
Master Yi,0,0,0%,,,,,-,-,-,,,,,,,
Mordekaiser,0,0,0%,,,,,-,-,-,,,,,,,
Nasus,0,0,0%,,,,,-,-,-,,,,,,,
Nidalee,0,0,0%,,,,,-,-,-,,,,,,,
Nunu,0,0,0%,,,,,-,-,-,,,,,,,
Quinn,0,0,0%,,,,,-,-,-,,,,,,,
Rammus,0,0,0%,,,,,-,-,-,,,,,,,
Rengar,0,0,0%,,,,,-,-,-,,,,,,,
Riven,0,0,0%,,,,,-,-,-,,,,,,,
Shaco,0,0,0%,,,,,-,-,-,,,,,,,
Shyvana,0,0,0%,,,,,-,-,-,,,,,,,
Singed,0,0,0%,,,,,-,-,-,,,,,,,
Skarner,0,0,0%,,,,,-,-,-,,,,,,,
Sona,0,0,0%,,,,,-,-,-,,,,,,,
Soraka,0,0,0%,,,,,-,-,-,,,,,,,
Swain,0,0,0%,,,,,-,-,-,,,,,,,
Talon,0,0,0%,,,,,-,-,-,,,,,,,
Taric,0,0,0%,,,,,-,-,-,,,,,,,
Teemo,0,0,0%,,,,,-,-,-,,,,,,,
Tristana,0,0,0%,,,,,-,-,-,,,,,,,
Twitch,0,0,0%,,,,,-,-,-,,,,,,,
Udyr,0,0,0%,,,,,-,-,-,,,,,,,
Urgot,0,0,0%,,,,,-,-,-,,,,,,,
Vladimir,0,0,0%,,,,,-,-,-,,,,,,,
Warwick,0,0,0%,,,,,-,-,-,,,,,,,
Xerath,0,0,0%,,,,,-,-,-,,,,,,,
Zac,0,0,0%,,,,,-,-,-,,,,,,,
Zed,0,0,0%,,,,,-,-,-,,,,,,,
Zilean,0,0,0%,,,,,-,-,-,,,,,,,
Zyra,0,0,0%,,,,,-,-,-,,,,,,,
VelKoz,0,0,0%,,,,,-,-,-,,,,,,,
Ekko,0,0,0%,,,,,-,-,-,,,,,,,
Tahm Kench,0,0,0%,,,,,-,-,-,,,,,,,
Illaoi,0,0,0%,,,,,-,-,-,,,,,,,
Aurelion Sol,0,0,0%,,,,,-,-,-,,,,,,,
Ivern,0,0,0%,,,,,-,-,-,,,,,,,
